SI_DO_NAME,SI_GUN_GU_NAME,UP_MYUN_DONG_NAME,final_category,final_score,final_general
경기도,성남시 수정구,창곡동,NIGHTLIFE,0.6532176470588235,False
경상남도,창원시 성산구,상남동,NIGHTLIFE,0.6666,False
서울특별시,금천구,가산동,OFFICE,0.7071,False
제주특별자치도,제주시,한림읍,OFFICE,0.6135,False
제주특별자치도,제주시,조천읍,GENERAL,0.2903,False
대구광역시,동구,신천동,RESIDENTIAL,0.6528666666666667,False
경상남도,양산시,물금읍,RESIDENTIAL,0.6179,False
서울특별시,광진구,중곡동,CAMPUS,0.6088,False
경기도,고양시 일산동구,백석동,OFFICE,0.7378,False
경기도,부천시 원미구,중동,RESIDENTIAL,0.7280800000000001,False
울산광역시,남구,삼산동,OFFICE,0.7233,False
서울특별시,은평구,갈현동,RESIDENTIAL,0.65405,False
경기도,김포시,구래동,OFFICE,0.6871,False
경기도,시흥시,배곧동,RESIDENTIAL,0.7142999999999999,False
경기도,성남시 분당구,야탑동,RESIDENTIAL,0.6799,False
경기도,성남시 중원구,성남동,NIGHTLIFE,0.7044,False
서울특별시,종로구,명륜4가,TOURIST,0.6479647058823529,False
광주광역시,서구,치평동,OFFICE,0.7495,False
경기도,고양시 일산서구,대화동,OFFICE,0.7334,False
서울특별시,노원구,공릉동,OFFICE,0.6128,False
경기도,안양시 만안구,안양동,OFFICE,0.6562222222222222,False
서울특별시,용산구,남영동,TOURIST,0.6083,False
서울특별시,성동구,행당동,RESIDENTIAL,0.6595,False
제주특별자치도,서귀포시,성산읍,TOURIST,0.7487,False
서울특별시,동대문구,장안동,CAMPUS,0.6127,False
서울특별시,강남구,개포동,RESIDENTIAL,0.63495,False
경기도,시흥시,정왕동,OFFICE,0.5968,False
경기도,파주시,야당동,OFFICE,0.6352,False
경상북도,경주시,황남동,TOURIST,0.709,False
부산광역시,해운대구,좌동,RESIDENTIAL,0.72915,False
서울특별시,종로구,관훈동,TOURIST,0.6479647058823529,False
서울특별시,종로구,청진동,TOURIST,0.6479647058823529,False
부산광역시,금정구,장전동,CAMPUS,0.6222000000000001,False
광주광역시,광산구,수완동,RESIDENTIAL,0.6421,False
서울특별시,강북구,미아동,NIGHTLIFE,0.6319,False
서울특별시,양천구,신정동,RESIDENTIAL,0.7261666666666667,False
제주특별자치도,서귀포시,색달동,TOURIST,0.6778235294117647,False
서울특별시,영등포구,영등포동3가,OFFICE,0.67855,False
인천광역시,중구,운서동,OFFICE,0.7178,False
서울특별시,동작구,노량진동,OFFICE,0.64215,False
경기도,남양주시,별내동,CAMPUS,0.62805,False
대전광역시,중구,대흥동,TOURIST,0.635,False
서울특별시,중랑구,면목동,NIGHTLIFE,0.6042666666666666,False
서울특별시,종로구,동숭동,TOURIST,0.6479647058823529,False
경기도,평택시,비전동,RESIDENTIAL,0.6336999999999999,False
경기도,용인시 기흥구,보정동,RESIDENTIAL,0.6749,False
제주특별자치도,서귀포시,서귀동,TOURIST,0.6778235294117647,False
충청남도,천안시 서북구,두정동,RESIDENTIAL,0.6481642857142857,False
서울특별시,광진구,군자동,NIGHTLIFE,0.6159,False
부산광역시,동구,초량동,TOURIST,0.7118,False
서울특별시,영등포구,문래동3가,OFFICE,0.6908,False
부산광역시,동래구,온천동,RESIDENTIAL,0.6612,False
서울특별시,중랑구,상봉동,NIGHTLIFE,0.643,False
경기도,수원시 영통구,하동,RESIDENTIAL,0.6819916666666667,False
충청북도,청주시 청원구,율량동,OFFICE,0.5974875,False
경기도,군포시,산본동,OFFICE,0.67345,False
인천광역시,서구,원당동,RESIDENTIAL,0.6692,False
부산광역시,해운대구,송정동,TOURIST,0.7133,False
인천광역시,미추홀구,주안동,NIGHTLIFE,0.63715,False
서울특별시,강남구,수서동,OFFICE,0.7303,False
서울특별시,중구,황학동,NIGHTLIFE,0.6306,False
인천광역시,중구,중산동,TOURIST,0.6587583333333333,False
서울특별시,종로구,익선동,TOURIST,0.6479647058823529,False
경기도,김포시,장기동,RESIDENTIAL,0.6960500000000001,False
경기도,평택시,고덕동,OFFICE,0.6938,False
서울특별시,중구,명동2가,TOURIST,0.6624,False
서울특별시,종로구,당주동,TOURIST,0.6479647058823529,False
서울특별시,중구,태평로1가,NIGHTLIFE,0.6285866666666667,False
경기도,의정부시,민락동,RESIDENTIAL,0.6607733333333333,False
대구광역시,남구,대명동,CAMPUS,0.6208111111111111,False
부산광역시,기장군,일광읍,TOURIST,0.6932,False
서울특별시,중구,저동2가,NIGHTLIFE,0.6285866666666667,False
광주광역시,광산구,쌍암동,GENERAL,0.5570238095238095,False
경기도,수원시 팔달구,장안동,RESIDENTIAL,0.6567700000000001,False
경기도,고양시 덕양구,화정동,RESIDENTIAL,0.7037500000000001,False
서울특별시,용산구,이촌동,PREMIUM,0.57935,False
서울특별시,중구,장충동2가,PREMIUM,0.618,False
서울특별시,강서구,등촌동,RESIDENTIAL,0.6518333333333334,False
서울특별시,동대문구,회기동,PREMIUM,0.6208,False
